formulario,codigo_pregunta,variable,seccion_numero,seccion_titulo,pregunta,tipo_campo,obligatoria,nivel_dato,numero_respuesta,valor_respuesta,etiqueta_respuesta
Formulario de Vivienda,V091,viv_inf_parentesco,7,Datos de la persona que suministra la información en la visita,Parentesco,texto,no,encuesta,,"",""
Formulario de Vivienda,V092,viv_inf_telefono,7,Datos de la persona que suministra la información en la visita,Teléfono cel./fijo,texto,no,encuesta,,"",""
Formulario de Vivienda,V093,viv_inf_firma,7,Datos de la persona que suministra la información en la visita,Firma,confirmacion,no,encuesta,,"",""
Formulario de Vivienda,V094,viv_declaracion_tipo,8,Afectado que no cumple con los requisitos para la auto-rehabilitación de la vivienda,Declaración de conformidad — el apoyo al que no puede acceder es para,unica,no,encuesta,1,rehabilitacion,Rehabilitación
Formulario de Vivienda,V094,viv_declaracion_tipo,8,Afectado que no cumple con los requisitos para la auto-rehabilitación de la vivienda,Declaración de conformidad — el apoyo al que no puede acceder es para,unica,no,encuesta,2,construccion,Construcción
Formulario de Vivienda,V095,viv_nc_nombre,8,Afectado que no cumple con los requisitos para la auto-rehabilitación de la vivienda,Nombre,texto,no,encuesta,,"",""
Formulario de Vivienda,V096,viv_nc_cc,8,Afectado que no cumple con los requisitos para la auto-rehabilitación de la vivienda,C.C. No.,texto,no,encuesta,,"",""
Formulario de Vivienda,V097,viv_nc_telefono,8,Afectado que no cumple con los requisitos para la auto-rehabilitación de la vivienda,Teléfono cel./fijo,texto,no,encuesta,,"",""
Formulario de Vivienda,V098,viv_nc_firma,8,Afectado que no cumple con los requisitos para la auto-rehabilitación de la vivienda,Firma,confirmacion,no,encuesta,,"",""
Formulario de Vivienda,V099,viv_firma_profesional_nombre,9,Firma y aprobación de la inspección y evaluación de la vivienda,Firma del profesional responsable de la inspección y evaluación — Nombre,texto,no,encuesta,,"",""
Formulario de Vivienda,V100,viv_firma_profesional_ok,9,Firma y aprobación de la inspección y evaluación de la vivienda,Firma del profesional responsable,confirmacion,no,encuesta,,"",""
Formulario de Vivienda,V101,viv_aprobo_coordinador_nombre,9,Firma y aprobación de la inspección y evaluación de la vivienda,Aprobó: firma coordinador del Consejo Territorial que realiza la inspección y evaluación — Nombre,texto,no,encuesta,,"",""
Formulario de Vivienda,V102,viv_aprobo_coordinador_ok,9,Firma y aprobación de la inspección y evaluación de la vivienda,Firma del coordinador del Consejo Territorial,confirmacion,no,encuesta,,"",""
Formulario de Personas / Familia,P001,per_nombres,1-4,Personas del hogar,Nombres,texto,sí,persona,,"",""
Formulario de Personas / Familia,P002,per_apellidos,1-4,Personas del hogar,Apellidos,texto,sí,persona,,"",""
Formulario de Personas / Familia,P003,per_tipo_documento,1-4,Personas del hogar,Tipo de documento,unica,no,persona,1,1,1 · Registro civil
Formulario de Personas / Familia,P003,per_tipo_documento,1-4,Personas del hogar,Tipo de documento,unica,no,persona,2,2,2 · Tarjeta de identidad
Formulario de Personas / Familia,P003,per_tipo_documento,1-4,Personas del hogar,Tipo de documento,unica,no,persona,3,3,3 · Cédula de ciudadanía
Formulario de Personas / Familia,P003,per_tipo_documento,1-4,Personas del hogar,Tipo de documento,unica,no,persona,4,4,4 · Cédula de extranjería
Formulario de Personas / Familia,P003,per_tipo_documento,1-4,Personas del hogar,Tipo de documento,unica,no,persona,5,5,5 · Indocumentado
Formulario de Personas / Familia,P003,per_tipo_documento,1-4,Personas del hogar,Tipo de documento,unica,no,persona,6,6,6 · No sabe / No responde
Formulario de Personas / Familia,P004,per_numero_documento,1-4,Personas del hogar,Número de documento,texto,no,persona,,"",""
Formulario de Personas / Familia,P005,per_parentesco,1-4,Personas del hogar,Parentesco con el jefe de hogar,unica,no,persona,1,1,1 · Jefe de hogar
Formulario de Personas / Familia,P005,per_parentesco,1-4,Personas del hogar,Parentesco con el jefe de hogar,unica,no,persona,2,2,2 · Esposo(a)
Formulario de Personas / Familia,P005,per_parentesco,1-4,Personas del hogar,Parentesco con el jefe de hogar,unica,no,persona,3,3,3 · Hijo(a)
Formulario de Personas / Familia,P005,per_parentesco,1-4,Personas del hogar,Parentesco con el jefe de hogar,unica,no,persona,4,4,4 · Primo(a)
Formulario de Personas / Familia,P005,per_parentesco,1-4,Personas del hogar,Parentesco con el jefe de hogar,unica,no,persona,5,5,5 · Tío(a)
Formulario de Personas / Familia,P005,per_parentesco,1-4,Personas del hogar,Parentesco con el jefe de hogar,unica,no,persona,6,6,6 · Nieto(a)
Formulario de Personas / Familia,P005,per_parentesco,1-4,Personas del hogar,Parentesco con el jefe de hogar,unica,no,persona,7,7,7 · Suegro(a)
Formulario de Personas / Familia,P005,per_parentesco,1-4,Personas del hogar,Parentesco con el jefe de hogar,unica,no,persona,8,8,8 · Yerno / Nuera
Formulario de Personas / Familia,P006,per_genero,1-4,Personas del hogar,Género,unica,no,persona,1,F,F · Femenino
Formulario de Personas / Familia,P006,per_genero,1-4,Personas del hogar,Género,unica,no,persona,2,M,M · Masculino
Formulario de Personas / Familia,P007,per_edad,1-4,Personas del hogar,Edad,numero,no,persona,,"",""
Formulario de Personas / Familia,P008,per_etnia,1-4,Personas del hogar,Etnia,unica,no,persona,1,1,1 · Afrocolombiano
Formulario de Personas / Familia,P008,per_etnia,1-4,Personas del hogar,Etnia,unica,no,persona,2,2,2 · Indígena
Formulario de Personas / Familia,P008,per_etnia,1-4,Personas del hogar,Etnia,unica,no,persona,3,3,3 · Gitano - Rom
Formulario de Personas / Familia,P008,per_etnia,1-4,Personas del hogar,Etnia,unica,no,persona,4,4,4 · Raizal
Formulario de Personas / Familia,P008,per_etnia,1-4,Personas del hogar,Etnia,unica,no,persona,5,5,5 · Otro
Formulario de Personas / Familia,P008,per_etnia,1-4,Personas del hogar,Etnia,unica,no,persona,6,6,6 · Sin información
Formulario de Personas / Familia,P009,per_estado_salud,1-4,Personas del hogar,Estado de salud,unica,no,persona,1,1,1 · Requiere asistencia médica
Formulario de Personas / Familia,P009,per_estado_salud,1-4,Personas del hogar,Estado de salud,unica,no,persona,2,2,2 · No requiere asistencia médica
Formulario de Personas / Familia,P010,per_afiliacion_salud,1-4,Personas del hogar,Afiliación al régimen de salud,unica,no,persona,1,1,1 · Contributivo
Formulario de Personas / Familia,P010,per_afiliacion_salud,1-4,Personas del hogar,Afiliación al régimen de salud,unica,no,persona,2,2,2 · Subsidiado
Formulario de Personas / Familia,P010,per_afiliacion_salud,1-4,Personas del hogar,Afiliación al régimen de salud,unica,no,persona,3,3,3 · Sin afiliación
Formulario de Personas / Familia,P011,per_ubicacion_inmueble,1-4,Personas del hogar,Ubicación del inmueble,unica,no,persona,1,rural,Rural
Formulario de Personas / Familia,P011,per_ubicacion_inmueble,1-4,Personas del hogar,Ubicación del inmueble,unica,no,persona,2,urbano,Urbano
Formulario de Personas / Familia,P012,per_propiedad_inmueble,1-4,Personas del hogar,Propiedad del inmueble,unica,no,persona,1,propia,Propia
Formulario de Personas / Familia,P012,per_propiedad_inmueble,1-4,Personas del hogar,Propiedad del inmueble,unica,no,persona,2,arriendo,Arriendo
Formulario de Personas / Familia,P013,per_estado_inmueble,1-4,Personas del hogar,Estado del inmueble,unica,no,persona,1,1,1 · Habitable
Formulario de Personas / Familia,P013,per_estado_inmueble,1-4,Personas del hogar,Estado del inmueble,unica,no,persona,2,2,2 · No habitable
Formulario de Personas / Familia,P013,per_estado_inmueble,1-4,Personas del hogar,Estado del inmueble,unica,no,persona,3,3,3 · Destruida
Formulario de Personas / Familia,P014,per_ahe_alimentaria,1-4,Personas del hogar,Ayuda humanitaria de emergencia — Alimentaria (AHE ALIM.),unica,no,persona,1,si,Sí
Formulario de Personas / Familia,P014,per_ahe_alimentaria,1-4,Personas del hogar,Ayuda humanitaria de emergencia — Alimentaria (AHE ALIM.),unica,no,persona,2,no,No
Formulario de Personas / Familia,P015,per_ahe_no_alimentaria,1-4,Personas del hogar,Ayuda humanitaria de emergencia — No alimentaria (AHE NO ALIM.),unica,no,persona,1,si,Sí
Formulario de Personas / Familia,P015,per_ahe_no_alimentaria,1-4,Personas del hogar,Ayuda humanitaria de emergencia — No alimentaria (AHE NO ALIM.),unica,no,persona,2,no,No
Formulario de Personas / Familia,P016,per_mat_rehab_vivienda,1-4,Personas del hogar,Material para rehabilitación de vivienda (MAT. REHAB. DE VIVIENDA),unica,no,persona,1,si,Sí
Formulario de Personas / Familia,P016,per_mat_rehab_vivienda,1-4,Personas del hogar,Material para rehabilitación de vivienda (MAT. REHAB. DE VIVIENDA),unica,no,persona,2,no,No
Formulario de Personas / Familia,P017,per_sub_arriendo,1-4,Personas del hogar,Subsidio de arriendo (SUB. ARRIENDO),unica,no,persona,1,si,Sí
Formulario de Personas / Familia,P017,per_sub_arriendo,1-4,Personas del hogar,Subsidio de arriendo (SUB. ARRIENDO),unica,no,persona,2,no,No
Formulario de Personas / Familia,P018,edan_elaborado_por,5,Datos finales del formato,Elaborado por,texto,sí,encuesta,,"",""
Formulario de Personas / Familia,P019,edan_elaborado_por_firma,5,Datos finales del formato,Firma de quien elabora,confirmacion,no,encuesta,,"",""
Formulario de Personas / Familia,P020,edan_entidad_operativa,5,Datos finales del formato,Entidad operativa,texto,no,encuesta,,"",""
Formulario de Personas / Familia,P021,edan_observaciones,5,Datos finales del formato,Observaciones,textarea,no,encuesta,,"",""
Formulario de Personas / Familia,P022,edan_vobo_cmgrd_nombre,5,Datos finales del formato,Vo.Bo. CMGRD — Presidente CMGRD (nombre),texto,no,encuesta,,"",""
Formulario de Personas / Familia,P023,edan_vobo_cmgrd_firma,5,Datos finales del formato,Vo.Bo. CMGRD,confirmacion,no,encuesta,,"",""
Formulario de Personas / Familia,P024,edan_vobo_cdgrd_nombre,5,Datos finales del formato,Vo.Bo. CDGRD (nombre),texto,no,encuesta,,"",""
Formulario de Personas / Familia,P025,edan_vobo_cdgrd_firma,5,Datos finales del formato,Vo.Bo. CDGRD,confirmacion,no,encuesta,,"",""
Formulario de Vivienda,V103,viv_prof_organismo,1,Información general,Nombre del organismo al que pertenece,texto,no,encuesta,,"",""
